uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,Importance,w_task,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
db852c6e,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/db852c6e_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/9cebf902_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/dc35566b_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/93eea469_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.93,0.786,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2e2364b7,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/2e2364b7_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
d0cae549,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/d0cae549_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
7dda7be5,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/7dda7be5_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.9,0.58,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3db6d320,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3db6d320_v0_t0_5.json,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,0,0.002,200000,,4.06,0.8119999999999999,1.0,0.6,0.0,0.0,1.0,60.0
8b2ab848,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/8b2ab848_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,0.6,0.0,0.0,1.0,60.0
3a55f5ca,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3a55f5ca_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.32,0.8640000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
db852c6e,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/db852c6e_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/dc35566b_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2e2364b7,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/2e2364b7_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
07080553,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/07080553_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.38,0.876,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3db6d320,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/3db6d320_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.06,0.8119999999999999,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3dfcc5c3_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.67,0.534,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/93eea469_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.93,0.786,1.0,1.0,0.0,0.0,1.0,84.61538461538461
8b2ab848,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/8b2ab848_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/9cebf902_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3a55f5ca,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/3a55f5ca_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,200000,,4.32,0.8640000000000001,1.0,0.8,0.0,0.0,1.0,72.30769230769232
d0cae549,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/d0cae549_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
7dda7be5,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/7dda7be5_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.9,0.58,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/3dfcc5c3_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.67,0.534,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2e2364b7,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/2e2364b7_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
07080553,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/07080553_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.38,0.876,1.0,1.0,0.0,0.0,1.0,84.61538461538461
8b2ab848,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/8b2ab848_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/9cebf902_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/dc35566b_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3a55f5ca,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3a55f5ca_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.32,0.8640000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
db852c6e,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/db852c6e_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/93eea469_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.93,0.786,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2e2364b7,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/2e2364b7_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
d0cae549,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/d0cae549_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
7dda7be5,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/7dda7be5_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.9,0.58,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3db6d320,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/3db6d320_v0_t0_0.json,0.0,0.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.06,0.8119999999999999,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/93eea469_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.93,0.786,1.0,1.0,0.0,0.0,1.0,84.61538461538461
db852c6e,Paralegals and Legal Assistants,2,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/db852c6e_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/9cebf902_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/dc35566b_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/3dfcc5c3_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.67,0.534,1.0,1.0,0.0,0.0,1.0,84.61538461538461
d0cae549,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/d0cae549_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
7dda7be5,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/7dda7be5_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,2.9,0.58,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3db6d320,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3db6d320_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.06,0.8119999999999999,1.0,1.0,0.0,0.0,1.0,84.61538461538461
07080553,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/07080553_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,200000,,4.38,0.876,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,1,0.5,gpt-4.1,TEXT,gpt-4.1/93eea469_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,3.93,0.786,1.0,0.8,0.0,0.0,1.0,72.30769230769232
8b2ab848,Paralegals and Legal Assistants,2,0.5,gpt-4.1,TEXT,gpt-4.1/8b2ab848_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,2.99,0.5980000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3a55f5ca,Paralegals and Legal Assistants,2,0.5,gpt-4.1,TEXT,gpt-4.1/3a55f5ca_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,4.32,0.8640000000000001,1.0,1.0,0.0,0.0,1.0,84.61538461538461
9cebf902,Paralegals and Legal Assistants,1,0.0,gpt-4.1,TEXT,gpt-4.1/9cebf902_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
d0cae549,Paralegals and Legal Assistants,1,0.0,gpt-4.1,TEXT,gpt-4.1/d0cae549_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,2.99,0.5980000000000001,1.0,0.8,0.0,0.0,1.0,72.30769230769232
7dda7be5,Paralegals and Legal Assistants,1,0.0,gpt-4.1,TEXT,gpt-4.1/7dda7be5_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,2.9,0.58,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,0,0.5,gpt-4.1,TEXT,gpt-4.1/3dfcc5c3_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,0,0.002,1047576,,2.67,0.534,1.0,0.6,0.0,0.0,1.0,60.0
2e2364b7,Paralegals and Legal Assistants,2,0.5,gpt-4.1,TEXT,gpt-4.1/2e2364b7_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,3.89,0.778,1.0,0.8,0.0,0.0,1.0,72.30769230769232
07080553,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/07080553_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,4.38,0.876,1.0,0.8,0.0,0.0,1.0,72.30769230769232
8b2ab848,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/8b2ab848_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,0,0.002,1047576,,2.99,0.5980000000000001,1.0,0.6,0.0,0.0,1.0,60.0
dc35566b,Paralegals and Legal Assistants,1,0.5,gpt-4.1,TEXT,gpt-4.1/dc35566b_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3a55f5ca,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/3a55f5ca_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,0,0.002,1047576,,4.32,0.8640000000000001,1.0,0.6,0.0,0.0,1.0,60.0
db852c6e,Paralegals and Legal Assistants,1,0.0,gpt-4.1,TEXT,gpt-4.1/db852c6e_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2e2364b7,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/2e2364b7_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,3.89,0.778,1.0,0.8,0.0,0.0,1.0,72.30769230769232
07080553,Paralegals and Legal Assistants,2,0.5,gpt-4.1,TEXT,gpt-4.1/07080553_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,4.38,0.876,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3db6d320,Paralegals and Legal Assistants,1,0.5,gpt-4.1,TEXT,gpt-4.1/3db6d320_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,4.06,0.8119999999999999,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,2,0.0,gpt-4.1,TEXT,gpt-4.1/3dfcc5c3_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,2.67,0.534,1.0,1.0,0.0,0.0,1.0,84.61538461538461
93eea469,Paralegals and Legal Assistants,0,0.5,gpt-4.1,TEXT,gpt-4.1/93eea469_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,3.93,0.786,1.0,0.8,0.0,0.0,1.0,72.30769230769232
9cebf902,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/9cebf902_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.89,0.778,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,2,0.0,gpt-4.1,TEXT,gpt-4.1/dc35566b_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.97,0.794,1.0,1.0,0.0,0.0,1.0,84.61538461538461
db852c6e,Paralegals and Legal Assistants,2,0.5,gpt-4.1,TEXT,gpt-4.1/db852c6e_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,3.33,0.666,1.0,1.0,0.0,0.0,1.0,84.61538461538461
3dfcc5c3,Paralegals and Legal Assistants,1,0.5,gpt-4.1,TEXT,gpt-4.1/3dfcc5c3_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0,0.002,1047576,,2.67,0.534,1.0,1.0,0.0,0.0,1.0,84.61538461538461
d0cae549,Paralegals and Legal Assistants,0,0.0,gpt-4.1,TEXT,gpt-4.1/d0cae549_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0,0.002,1047576,,2.99,0.5980000000000001,1.0,0.8,0.0,0.0,1.0,72.30769230769232
