SOC,TaskID,TaskText,TaskType,task_incumbents_responding,task_date_raw,task_domain_source,task_date,Importance,Relevance,ratings_source_im,ratings_source_rl,importance_n_respondents,relevance_n_respondents,ratings_month_im,ratings_month_rl,OccTitleRaw,Description,OccTitleClean,uid,retained_by_relevance_rule,dwa_ids,dwa_titles,dwa_count,soc_emerging_new_count,soc_emerging_revision_count,is_emerging_revision,hot_tech_count,in_demand_tech_count,top_hot_tech_examples,top_tools_examples,job_zone,svp_range,wc_electronic_mail,wc_exact_or_accurate,wc_face_to_face,wc_hands_on,wc_physical_proximity,wc_telephone,related_occ_count,top_related_titles,top_work_activities,vote1,vote2,vote3,modality,modality_agreement,modality_disagreement,modality_confidence,digital_amenable,amenability_reason,amenability_code,needs_stub,stub_type,importance_weight_norm,onetsrc_version,model_name,votes_per_task,vote_seeds,generated_utc
23-2011.00,1642,Appraise and inventory real and personal property for estate planning.,Supplemental,67.0,08/2024,Incumbent,2024-08,2.9,27.59,Incumbent,Incumbent,14.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,7dda7be500c7,True,4.A.2.a.1.I09.D01;4.A.2.a.1.I09.D03;4.A.4.c.3.I07.D02,Appraise property values.;Evaluate condition of properties.;Inventory materials or equipment.,3,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,3,False,1.0,False,Ambiguous task description.,AMBIGUOUS,True,AMBIGUOUS,0.06694367497691597,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,1641,Keep and monitor legal volumes to ensure that the law library is up-to-date.,Supplemental,67.0,08/2024,Incumbent,2024-08,2.67,29.93,Incumbent,Incumbent,15.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,3dfcc5c38672,True,4.A.3.b.6.I14.D03,Maintain the order of legal documents.,1,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,MANUAL,MANUAL,MANUAL,MANUAL,3,False,1.0,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.061634349030470915,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,18565,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",Core,73.0,08/2022,Incumbent,2022-08,4.67,94.3,Incumbent,Incumbent,70.0,73.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,a79efa23d0a0,True,4.A.4.a.1.I01.D03,Discuss goods or services information with customers or patrons.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.08861480075901328,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2578,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",Core,73.0,08/2022,Incumbent,2022-08,4.53,82.21,Incumbent,Incumbent,61.0,73.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,74178ae3052c,True,4.A.3.b.6.I10.D03,Maintain financial or account records.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.08595825426944971,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2580,Check to ensure that appropriate changes were made to resolve customers' problems.,Core,73.0,08/2022,Incumbent,2022-08,4.39,83.76,Incumbent,Incumbent,65.0,73.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,0ab09e58d9c6,True,4.A.4.a.8.I03.D01,Respond to customer problems or complaints.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.08330170777988613,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2581,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,Core,73.0,08/2022,Incumbent,2022-08,4.22,82.44,Incumbent,Incumbent,53.0,73.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,25c9f684920d,True,4.A.4.a.3.I03.D07,Provide notifications to customers or patrons.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.08007590132827323,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2583,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",Core,72.0,08/2022,Incumbent,2022-08,4.18,67.27,Incumbent,Incumbent,54.0,72.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,cc85a383d126,True,4.A.2.b.1.I01.D07;4.A.4.c.3.I04.D01,"Calculate costs of goods or services.;Collect deposits, payments or fees.",2,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",GUI,TEXT,GUI,GUI,2,True,0.6666666666666666,True,Requires operating software UI.,GUI_SOFTWARE,False,NONE,0.07931688804554078,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2584,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",Core,72.0,08/2022,Incumbent,2022-08,4.1,70.98,Incumbent,Incumbent,53.0,72.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,87f827ff1b9c,True,4.A.3.b.6.I13.D05,"Prepare documentation for contracts, transactions, or regulatory compliance.",1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",GUI,GUI,GUI,GUI,3,False,1.0,True,Requires operating software UI.,GUI_SOFTWARE,False,NONE,0.07779886148007589,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2582,Refer unresolved customer grievances to designated departments for further investigation.,Core,72.0,08/2022,Incumbent,2022-08,4.07,85.43,Incumbent,Incumbent,61.0,72.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,b4ec494dd188,True,4.A.4.a.5.I01.D01,Refer customers to appropriate personnel.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.07722960151802656,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2579,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",Supplemental,71.0,08/2022,Incumbent,2022-08,4.19,63.89,Incumbent,Incumbent,55.0,71.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,817eee8498a4,True,4.A.4.a.8.I03.D01;4.A.4.c.1.I03.D04,Execute sales or other financial transactions.;Respond to customer problems or complaints.,2,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",MANUAL,MANUAL,MANUAL,MANUAL,3,False,1.0,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.07950664136622392,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2587,Review insurance policy terms to determine whether a particular loss is covered by insurance.,Supplemental,71.0,08/2022,Incumbent,2022-08,4.05,40.3,Incumbent,Incumbent,14.0,71.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,38c421e63969,True,4.A.2.a.3.I03.D04,Review customer insurance information.,1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.07685009487666034,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2586,Solicit sales of new or additional services or products.,Supplemental,73.0,08/2022,Incumbent,2022-08,3.87,48.54,Incumbent,Incumbent,33.0,73.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,b17e8429239b,True,4.A.4.a.6.I03.D12,"Promote products, services, or programs.",1,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.07343453510436432,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
43-4051.00,2589,Compare disputed merchandise with original requisitions and information from invoices and prepare invoices for returned goods.,Supplemental,72.0,08/2022,Incumbent,2022-08,3.64,41.14,Incumbent,Incumbent,27.0,72.0,2022-08,2022-08,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",Customer Service Representative,fd4e0eb807d3,True,4.A.2.a.2.I01.D09;4.A.4.c.1.I03.D06,Process customer bills or payments.;Verify accuracy of financial or transactional data.,2,,,False,27,3,ADP Workforce Now; AS/400 Database; Active Data Online WebChat,Autodialing systems; Automatic call distribution ACD system; Calling line identification equipment,2,,4.33,4.53,3.61,3.99,3.24,5.0,20,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; Telemarketers; Insurance Claims and Policy Processing Clerks","Communicating with Supervisors, Peers, or Subordinates; Working with Computers; Communicating with People Outside the Organization",TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.06907020872865274,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
