DWA_ID,IWA_ID,GWA_ID,IWA_Title,GWA_Title
4.A.4.b.4.I11.D03,4.A.4.b.4.I11,4.A.4.b.4,"Coordinate group, community, or public activities.","Guiding, Directing, and Motivating Subordinates"
4.A.1.a.1.I03.D06,4.A.1.a.1.I03,4.A.1.a.1,Investigate criminal or legal matters.,Getting Information
4.A.4.a.3.I01.D01,4.A.4.a.3.I01,4.A.4.a.3,Present information in legal proceedings.,Communicating with People Outside the Organization
4.A.4.a.6.I03.D12,4.A.4.a.6.I03,4.A.4.a.6,"Promote products, services, or programs.",Selling or Influencing Others
4.A.2.b.4.I02.D01,4.A.2.b.4.I02,4.A.2.b.4,Draft legislation or regulations.,Developing Objectives and Strategies
4.A.2.a.1.I04.D05,4.A.2.a.1.I04,4.A.2.a.1,Evaluate personnel capabilities or performance.,"Judging the Qualities of Objects, Services, or People"
4.A.4.b.5.I02.D05,4.A.4.b.5.I02,4.A.4.b.5,Provide support or encouragement to others.,Coaching and Developing Others
4.A.1.b.1.I02.D01,4.A.1.b.1.I02,4.A.1.b.1,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
4.A.2.a.1.I02.D01,4.A.2.a.1.I02,4.A.2.a.1,"Evaluate programs, practices, or processes.","Judging the Qualities of Objects, Services, or People"
4.A.2.a.4.I03.D02,4.A.2.a.4.I03,4.A.2.a.4,Analyze business or financial risks.,Analyzing Data or Information
4.A.2.a.4.I05.D07,4.A.2.a.4.I05,4.A.2.a.4,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
4.A.2.b.5.I01.D04,4.A.2.b.5.I01,4.A.2.b.5,Prepare schedules for services or facilities.,Scheduling Work and Activities
4.A.3.b.6.I08.D04,4.A.3.b.6.I08,4.A.3.b.6,Maintain operational records.,Documenting/Recording Information
4.A.3.b.6.I07.D04,4.A.3.b.6.I07,4.A.3.b.6,Prepare proposals or grant applications.,Documenting/Recording Information
4.A.4.b.4.I01.D19,4.A.4.b.4.I01,4.A.4.b.4,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.2.a.3.I02.D02,4.A.2.a.3.I02,4.A.2.a.3,Assess compliance with environmental standards or regulations.,Evaluating Information to Determine Compliance with Standards
4.A.2.b.2.I03.D02,4.A.2.b.2.I03,4.A.2.b.2,Develop business or marketing plans.,Thinking Creatively
4.A.1.a.1.I10.D06,4.A.1.a.1.I10,4.A.1.a.1,Investigate the environmental impact of industrial or development activities.,Getting Information
4.A.2.a.1.I10.D02,4.A.2.a.1.I10,4.A.2.a.1,Evaluate project feasibility.,"Judging the Qualities of Objects, Services, or People"
4.A.4.a.3.I02.D02,4.A.4.a.3.I02,4.A.4.a.3,Provide information or assistance to the public.,Communicating with People Outside the Organization
4.A.2.b.2.I20.D03,4.A.2.b.2.I20,4.A.2.b.2,Develop sustainable organizational or business policies or practices.,Thinking Creatively
4.A.4.b.4.I08.D03,4.A.4.b.4.I08,4.A.4.b.4,Manage control systems or activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I11.D06,4.A.4.b.4.I11,4.A.4.b.4,"Coordinate group, community, or public activities.","Guiding, Directing, and Motivating Subordinates"
4.A.2.b.4.I03.D13,4.A.2.b.4.I03,4.A.2.b.4,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
4.A.4.b.4.I12.D07,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.2.a.4.I11.D07,4.A.2.a.4.I11,4.A.2.a.4,Analyze business or financial data.,Analyzing Data or Information
4.A.1.a.2.I06.D01,4.A.1.a.2.I06,4.A.1.a.2,Monitor individual behavior or performance.,"Monitoring Processes, Materials, or Surroundings"
4.A.2.b.2.I27.D02,4.A.2.b.2.I27,4.A.2.b.2,Develop organizational or program goals or objectives.,Thinking Creatively
4.A.4.b.3.I04.D16,4.A.4.b.3.I04,4.A.4.b.3,Train others on operational or work procedures.,Training and Teaching Others
4.A.4.c.2.I01.D03,4.A.4.c.2.I01,4.A.4.c.2,Perform recruiting or hiring activities.,Staffing Organizational Units
4.A.2.b.2.I03.D03,4.A.2.b.2.I03,4.A.2.b.2,Develop business or marketing plans.,Thinking Creatively
4.A.2.b.4.I01.D06,4.A.2.b.4.I01,4.A.2.b.4,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
4.A.4.a.3.I03.D09,4.A.4.a.3.I03,4.A.4.a.3,"Provide information to guests, clients, or customers.",Communicating with People Outside the Organization
4.A.2.b.1.I08.D05,4.A.2.b.1.I08,4.A.2.b.1,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
4.A.2.b.2.I11.D01,4.A.2.b.2.I11,4.A.2.b.2,Design structures or facilities.,Thinking Creatively
4.A.2.b.3.I01.D08,4.A.2.b.3.I01,4.A.2.b.3,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
4.A.1.a.1.I14.D02,4.A.1.a.1.I14,4.A.1.a.1,Collect data about consumer needs or opinions.,Getting Information
4.A.1.a.1.I14.D05,4.A.1.a.1.I14,4.A.1.a.1,Collect data about consumer needs or opinions.,Getting Information
4.A.2.b.1.I09.D06,4.A.2.b.1.I09,4.A.2.b.1,Implement procedures or processes.,Making Decisions and Solving Problems
4.A.4.a.2.I11.D06,4.A.4.a.2.I11,4.A.4.a.2,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
4.A.4.a.8.I03.D05,4.A.4.a.8.I03,4.A.4.a.8,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
4.A.4.a.4.I01.D04,4.A.4.a.4.I01,4.A.4.a.4,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
4.A.2.a.2.I03.D03,4.A.2.a.2.I03,4.A.2.a.2,"Compile records, documentation, or other data.",Processing Information
4.A.4.b.4.I01.D13,4.A.4.b.4.I01,4.A.4.b.4,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.2.b.1.I03.D04,4.A.2.b.1.I03,4.A.2.b.1,Authorize business activities or transactions.,Making Decisions and Solving Problems
4.A.2.a.1.I04.D04,4.A.2.a.1.I04,4.A.2.a.1,Evaluate personnel capabilities or performance.,"Judging the Qualities of Objects, Services, or People"
4.A.2.a.4.I07.D08,4.A.2.a.4.I07,4.A.2.a.4,Analyze data to improve operations.,Analyzing Data or Information
4.A.2.a.4.I02.D08,4.A.2.a.4.I02,4.A.2.a.4,Analyze market or industry conditions.,Analyzing Data or Information
4.A.2.b.3.I01.D18,4.A.2.b.3.I01,4.A.2.b.3,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
4.A.1.a.1.I14.D01,4.A.1.a.1.I14,4.A.1.a.1,Collect data about consumer needs or opinions.,Getting Information
4.A.2.b.2.I12.D01,4.A.2.b.2.I12,4.A.2.b.2,Develop marketing or promotional materials.,Thinking Creatively
4.A.2.a.3.I01.D01,4.A.2.a.3.I01,4.A.2.a.3,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
4.A.4.a.7.I02.D01,4.A.4.a.7.I02,4.A.4.a.7,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others
4.A.4.b.6.I02.D02,4.A.4.b.6.I02,4.A.4.b.6,Advise others on products or services.,Providing Consultation and Advice to Others
4.A.4.b.4.I09.D05,4.A.4.b.4.I09,4.A.4.b.4,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I12.D12,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.2.b.1.I08.D08,4.A.2.b.1.I08,4.A.2.b.1,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
4.A.2.a.2.I03.D01,4.A.2.a.2.I03,4.A.2.a.2,"Compile records, documentation, or other data.",Processing Information
4.A.1.a.2.I08.D03,4.A.1.a.2.I08,4.A.1.a.2,"Monitor external affairs, trends, or events.","Monitoring Processes, Materials, or Surroundings"
4.A.4.b.6.I05.D10,4.A.4.b.6.I05,4.A.4.b.6,Advise others on business or operational matters.,Providing Consultation and Advice to Others
4.A.1.a.1.I14.D04,4.A.1.a.1.I14,4.A.1.a.1,Collect data about consumer needs or opinions.,Getting Information
4.A.2.a.1.I07.D03,4.A.2.a.1.I07,4.A.2.a.1,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Objects, Services, or People"
4.A.2.a.4.I11.D06,4.A.2.a.4.I11,4.A.2.a.4,Analyze business or financial data.,Analyzing Data or Information
4.A.2.b.1.I07.D02,4.A.2.b.1.I07,4.A.2.b.1,Edit written materials or documents.,Making Decisions and Solving Problems
4.A.2.b.2.I19.D03,4.A.2.b.2.I19,4.A.2.b.2,Develop contingency or emergency response plans.,Thinking Creatively
4.A.2.b.4.I01.D02,4.A.2.b.4.I01,4.A.2.b.4,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
4.A.3.b.6.I08.D05,4.A.3.b.6.I08,4.A.3.b.6,Maintain operational records.,Documenting/Recording Information
4.A.4.b.4.I07.D03,4.A.4.b.4.I07,4.A.4.b.4,Manage human resources activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.2.b.2.I06.D03,4.A.2.b.2.I06,4.A.2.b.2,Design databases.,Thinking Creatively
4.A.3.a.3.I05.D04,4.A.3.a.3.I05,4.A.3.a.3,Operate audiovisual or related equipment.,Controlling Machines and Processes
4.A.4.c.3.I03.D01,4.A.4.c.3.I03,4.A.4.c.3,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
4.A.3.b.6.I07.D03,4.A.3.b.6.I07,4.A.3.b.6,Prepare proposals or grant applications.,Documenting/Recording Information
4.A.2.a.3.I03.D02,4.A.2.a.3.I03,4.A.2.a.3,"Examine financial activities, operations, or systems.",Evaluating Information to Determine Compliance with Standards
4.A.4.a.1.I02.D02,4.A.4.a.1.I02,4.A.4.a.1,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
4.A.2.b.2.I09.D02,4.A.2.b.2.I09,4.A.2.b.2,Develop financial or business plans.,Thinking Creatively
4.A.2.b.2.I03.D01,4.A.2.b.2.I03,4.A.2.b.2,Develop business or marketing plans.,Thinking Creatively
4.A.4.b.4.I11.D05,4.A.4.b.4.I11,4.A.4.b.4,"Coordinate group, community, or public activities.","Guiding, Directing, and Motivating Subordinates"
4.A.4.a.2.I11.D02,4.A.4.a.2.I11,4.A.4.a.2,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
4.A.2.b.4.I03.D17,4.A.2.b.4.I03,4.A.2.b.4,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
4.A.4.b.4.I13.D04,4.A.4.b.4.I13,4.A.4.b.4,Assign work to others.,"Guiding, Directing, and Motivating Subordinates"
4.A.2.b.3.I01.D05,4.A.2.b.3.I01,4.A.2.b.3,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
4.A.2.b.1.I10.D11,4.A.2.b.1.I10,4.A.2.b.1,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
4.A.3.b.6.I08.D09,4.A.3.b.6.I08,4.A.3.b.6,Maintain operational records.,Documenting/Recording Information
4.A.4.a.2.I03.D13,4.A.4.a.2.I03,4.A.4.a.2,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
4.A.1.a.1.I02.D07,4.A.1.a.1.I02,4.A.1.a.1,Read documents or materials to inform work processes.,Getting Information
4.A.1.a.1.I05.D01,4.A.1.a.1.I05,4.A.1.a.1,Consult legal materials or public records.,Getting Information
4.A.4.a.8.I03.D01,4.A.4.a.8.I03,4.A.4.a.8,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
4.A.4.b.4.I01.D08,4.A.4.b.4.I01,4.A.4.b.4,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.c.3.I01.D03,4.A.4.c.3.I01,4.A.4.c.3,"Replenish inventories of materials, equipment, or products.",Monitoring and Controlling Resources
4.A.4.c.3.I05.D03,4.A.4.c.3.I05,4.A.4.c.3,Purchase goods or services.,Monitoring and Controlling Resources
4.A.4.c.3.I03.D02,4.A.4.c.3.I03,4.A.4.c.3,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
4.A.1.a.2.I02.D02,4.A.1.a.2.I02,4.A.1.a.2,Monitor operations to ensure adequate performance.,"Monitoring Processes, Materials, or Surroundings"
4.A.4.b.4.I12.D27,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.2.a.4.I03.D03,4.A.2.a.4.I03,4.A.2.a.4,Analyze business or financial risks.,Analyzing Data or Information
4.A.2.b.2.I05.D02,4.A.2.b.2.I05,4.A.2.b.2,"Develop safety standards, policies, or procedures.",Thinking Creatively
4.A.4.a.2.I11.D01,4.A.4.a.2.I11,4.A.4.a.2,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
4.A.4.b.4.I15.D02,4.A.4.b.4.I15,4.A.4.b.4,Direct security or safety activities or operations.,"Guiding, Directing, and Motivating Subordinates"
4.A.2.b.2.I19.D04,4.A.2.b.2.I19,4.A.2.b.2,Develop contingency or emergency response plans.,Thinking Creatively
4.A.1.a.2.I07.D07,4.A.1.a.2.I07,4.A.1.a.2,"Monitor safety or security of work areas, facilities, or properties.","Monitoring Processes, Materials, or Surroundings"
4.A.1.a.2.I11.D04,4.A.1.a.2.I11,4.A.1.a.2,Monitor operations to ensure compliance with regulations or standards.,"Monitoring Processes, Materials, or Surroundings"
4.A.3.b.6.I14.D02,4.A.3.b.6.I14,4.A.3.b.6,Prepare legal or regulatory documents.,Documenting/Recording Information
4.A.4.a.5.I05.D02,4.A.4.a.5.I05,4.A.4.a.5,Intervene in crisis situations or emergencies.,Assisting and Caring for Others
4.A.4.c.2.I02.D01,4.A.4.c.2.I02,4.A.4.c.2,Perform human resources activities.,Staffing Organizational Units
4.A.4.b.3.I04.D11,4.A.4.b.3.I04,4.A.4.b.3,Train others on operational or work procedures.,Training and Teaching Others
4.A.2.b.2.I02.D02,4.A.2.b.2.I02,4.A.2.b.2,Design computer or information systems or applications.,Thinking Creatively
4.A.1.a.1.I02.D08,4.A.1.a.1.I02,4.A.1.a.1,Read documents or materials to inform work processes.,Getting Information
4.A.2.a.1.I10.D01,4.A.2.a.1.I10,4.A.2.a.1,Evaluate project feasibility.,"Judging the Qualities of Objects, Services, or People"
4.A.4.c.2.I01.D05,4.A.4.c.2.I01,4.A.4.c.2,Perform recruiting or hiring activities.,Staffing Organizational Units
4.A.2.a.4.I11.D05,4.A.2.a.4.I11,4.A.2.a.4,Analyze business or financial data.,Analyzing Data or Information
4.A.1.a.2.I03.D04,4.A.1.a.2.I03,4.A.1.a.2,Monitor financial data or activities.,"Monitoring Processes, Materials, or Surroundings"
4.A.3.b.6.I14.D04,4.A.3.b.6.I14,4.A.3.b.6,Prepare legal or regulatory documents.,Documenting/Recording Information
4.A.4.a.1.I02.D05,4.A.4.a.1.I02,4.A.4.a.1,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
4.A.4.c.2.I02.D02,4.A.4.c.2.I02,4.A.4.c.2,Perform human resources activities.,Staffing Organizational Units
4.A.2.a.3.I03.D01,4.A.2.a.3.I03,4.A.2.a.3,"Examine financial activities, operations, or systems.",Evaluating Information to Determine Compliance with Standards
4.A.4.c.3.I04.D03,4.A.4.c.3.I04,4.A.4.c.3,Collect fares or payments.,Monitoring and Controlling Resources
4.A.1.b.3.I03.D01,4.A.1.b.3.I03,4.A.1.b.3,Calculate financial data.,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
4.A.2.a.3.I03.D05,4.A.2.a.3.I03,4.A.2.a.3,"Examine financial activities, operations, or systems.",Evaluating Information to Determine Compliance with Standards
4.A.1.a.2.I02.D05,4.A.1.a.2.I02,4.A.1.a.2,Monitor operations to ensure adequate performance.,"Monitoring Processes, Materials, or Surroundings"
4.A.1.a.2.I03.D02,4.A.1.a.2.I03,4.A.1.a.2,Monitor financial data or activities.,"Monitoring Processes, Materials, or Surroundings"
4.A.1.a.2.I03.D05,4.A.1.a.2.I03,4.A.1.a.2,Monitor financial data or activities.,"Monitoring Processes, Materials, or Surroundings"
4.A.1.b.1.I02.D02,4.A.1.b.1.I02,4.A.1.b.1,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
4.A.1.a.2.I11.D10,4.A.1.a.2.I11,4.A.1.a.2,Monitor operations to ensure compliance with regulations or standards.,"Monitoring Processes, Materials, or Surroundings"
4.A.2.a.3.I02.D03,4.A.2.a.3.I02,4.A.2.a.3,Assess compliance with environmental standards or regulations.,Evaluating Information to Determine Compliance with Standards
4.A.2.b.2.I14.D01,4.A.2.b.2.I14,4.A.2.b.2,Design industrial systems or equipment.,Thinking Creatively
4.A.4.b.4.I12.D01,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.3.b.6.I15.D04,4.A.3.b.6.I15,4.A.3.b.6,Prepare reports of operational or procedural activities.,Documenting/Recording Information
4.A.3.b.6.I08.D10,4.A.3.b.6.I08,4.A.3.b.6,Maintain operational records.,Documenting/Recording Information
4.A.2.a.1.I05.D03,4.A.2.a.1.I05,4.A.2.a.1,Evaluate production inputs or outputs.,"Judging the Qualities of Objects, Services, or People"
4.A.2.b.4.I01.D04,4.A.2.b.4.I01,4.A.2.b.4,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
4.A.2.b.2.I07.D02,4.A.2.b.2.I07,4.A.2.b.2,Develop technical specifications for products or operations.,Thinking Creatively
4.A.1.b.2.I05.D15,4.A.1.b.2.I05,4.A.1.b.2,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Materials"
4.A.1.a.1.I02.D15,4.A.1.a.1.I02,4.A.1.a.1,Read documents or materials to inform work processes.,Getting Information
4.A.2.a.1.I07.D02,4.A.2.a.1.I07,4.A.2.a.1,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Objects, Services, or People"
4.A.2.a.3.I01.D04,4.A.2.a.3.I01,4.A.2.a.3,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
4.A.3.b.6.I08.D30,4.A.3.b.6.I08,4.A.3.b.6,Maintain operational records.,Documenting/Recording Information
4.A.4.b.4.I12.D10,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.4.a.2.I01.D02,4.A.4.a.2.I01,4.A.4.a.2,Communicate environmental or sustainability information.,"Communicating with Supervisors, Peers, or Subordinates"
4.A.3.b.4.I02.D11,4.A.3.b.4.I02,4.A.3.b.4,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
4.A.3.b.6.I13.D04,4.A.3.b.6.I13,4.A.3.b.6,"Prepare documentation for contracts, applications, or permits.",Documenting/Recording Information
4.A.4.a.7.I02.D08,4.A.4.a.7.I02,4.A.4.a.7,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others
4.A.1.a.2.I01.D08,4.A.1.a.2.I01,4.A.1.a.2,Monitor equipment operation.,"Monitoring Processes, Materials, or Surroundings"
4.A.1.b.1.I02.D06,4.A.1.b.1.I02,4.A.1.b.1,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
4.A.2.b.2.I20.D01,4.A.2.b.2.I20,4.A.2.b.2,Develop sustainable organizational or business policies or practices.,Thinking Creatively
4.A.4.b.4.I09.D09,4.A.4.b.4.I09,4.A.4.b.4,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I12.D25,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.1.a.2.I02.D17,4.A.1.a.2.I02,4.A.1.a.2,Monitor operations to ensure adequate performance.,"Monitoring Processes, Materials, or Surroundings"
4.A.3.a.3.I07.D04,4.A.3.a.3.I07,4.A.3.a.3,Operate energy production or distribution equipment.,Controlling Machines and Processes
4.A.2.a.4.I07.D04,4.A.2.a.4.I07,4.A.2.a.4,Analyze data to improve operations.,Analyzing Data or Information
4.A.1.b.2.I02.D01,4.A.1.b.2.I02,4.A.1.b.2,Evaluate green technologies or processes.,"Inspecting Equipment, Structures, or Materials"
4.A.3.b.4.I02.D13,4.A.3.b.4.I02,4.A.3.b.4,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
4.A.1.a.2.I01.D05,4.A.1.a.2.I01,4.A.1.a.2,Monitor equipment operation.,"Monitoring Processes, Materials, or Surroundings"
4.A.3.a.3.I10.D01,4.A.3.a.3.I10,4.A.3.a.3,Operate communications equipment or systems.,Controlling Machines and Processes
4.A.2.b.5.I02.D01,4.A.2.b.5.I02,4.A.2.b.5,Schedule operational activities.,Scheduling Work and Activities
4.A.1.a.2.I07.D01,4.A.1.a.2.I07,4.A.1.a.2,"Monitor safety or security of work areas, facilities, or properties.","Monitoring Processes, Materials, or Surroundings"
4.A.3.a.1.I11.D10,4.A.3.a.1.I11,4.A.3.a.1,Maintain safety or security.,Performing General Physical Activities
4.A.4.b.6.I03.D03,4.A.4.b.6.I03,4.A.4.b.6,Advise others on environmental sustainability or green practices.,Providing Consultation and Advice to Others
4.A.1.a.1.I23.D01,4.A.1.a.1.I23,4.A.1.a.1,Interview people to obtain information.,Getting Information
4.A.2.b.1.I09.D02,4.A.2.b.1.I09,4.A.2.b.1,Implement procedures or processes.,Making Decisions and Solving Problems
4.A.2.a.2.I01.D02,4.A.2.a.2.I01,4.A.2.a.2,Evaluate the quality or accuracy of data.,Processing Information
4.A.1.a.2.I06.D06,4.A.1.a.2.I06,4.A.1.a.2,Monitor individual behavior or performance.,"Monitoring Processes, Materials, or Surroundings"
4.A.4.c.3.I07.D04,4.A.4.c.3.I07,4.A.4.c.3,Monitor resources or inventories.,Monitoring and Controlling Resources
4.A.1.a.1.I10.D07,4.A.1.a.1.I10,4.A.1.a.1,Investigate the environmental impact of industrial or development activities.,Getting Information
4.A.2.b.1.I08.D03,4.A.2.b.1.I08,4.A.2.b.1,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
4.A.2.a.4.I07.D11,4.A.2.a.4.I07,4.A.2.a.4,Analyze data to improve operations.,Analyzing Data or Information
4.A.4.a.7.I02.D03,4.A.4.a.7.I02,4.A.4.a.7,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others
4.A.4.c.2.I02.D03,4.A.4.c.2.I02,4.A.4.c.2,Perform human resources activities.,Staffing Organizational Units
4.A.4.b.6.I07.D06,4.A.4.b.6.I07,4.A.4.b.6,Advise others on educational or vocational matters.,Providing Consultation and Advice to Others
4.A.1.a.1.I21.D04,4.A.1.a.1.I21,4.A.1.a.1,Investigate incidents or accidents.,Getting Information
4.A.2.a.1.I02.D06,4.A.2.a.1.I02,4.A.2.a.1,"Evaluate programs, practices, or processes.","Judging the Qualities of Objects, Services, or People"
4.A.2.b.2.I18.D14,4.A.2.b.2.I18,4.A.2.b.2,Create visual designs or displays.,Thinking Creatively
4.A.3.b.6.I12.D10,4.A.3.b.6.I12,4.A.3.b.6,Prepare informational or instructional materials.,Documenting/Recording Information
