occupation,model,mean_score,N,ci_low,ci_high
Paralegals and Legal Assistants,llama3-8b-8192,54.35897435897436,18,36.239316239316246,71.81196581196579
Radiologic Technologists and Technicians,claude-3-5-sonnet-20240620,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,claude-3-opus-20240229,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gemini-2.0-flash,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gemini-2.5-flash-preview-05-20,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gpt-3.5-turbo,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gpt-4,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gpt-4-turbo,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gpt-4.1,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,gpt-4o,0.0,18,0.0,0.0
Radiologic Technologists and Technicians,llama3-8b-8192,0.0,18,0.0,0.0
"Shipping, Receiving, and Inventory Clerks",claude-3-5-sonnet-20240620,39.572649572649574,18,23.375000000000004,57.19123931623931
"Shipping, Receiving, and Inventory Clerks",claude-3-opus-20240229,45.72649572649573,18,30.169871794871796,61.324786324786324
"Shipping, Receiving, and Inventory Clerks",gemini-2.0-flash,16.794871794871796,18,4.017094017094018,34.231837606837615
"Shipping, Receiving, and Inventory Clerks",gemini-2.5-flash-preview-05-20,43.504273504273506,18,25.28632478632479,60.34188034188034
"Shipping, Receiving, and Inventory Clerks",gpt-3.5-turbo,41.53846153846154,18,24.685897435897438,59.67307692307692
"Shipping, Receiving, and Inventory Clerks",gpt-4,42.136752136752136,18,25.982905982905987,59.05982905982906
"Shipping, Receiving, and Inventory Clerks",gpt-4-turbo,52.99145299145299,18,34.871794871794876,70.42735042735042
"Shipping, Receiving, and Inventory Clerks",gpt-4.1,45.64102564102564,18,26.837606837606838,65.14316239316238
"Shipping, Receiving, and Inventory Clerks",gpt-4o,47.00854700854701,18,28.205128205128204,65.8119658119658
"Shipping, Receiving, and Inventory Clerks",llama3-8b-8192,28.717948717948723,18,14.700854700854702,45.38461538461539
